k,technique,vocab_size,total_params,trainable_params,trainable_pct,motif_rate,baseline_motif_rate,improvement_over_baseline,train_seconds
1,sft,9,60912,60912,100.0,0.02,0.5,-0.48,14.481
1,dpo-sigmoid,9,60912,60912,100.0,0.1,0.5,-0.4,16.565
1,dpo-ipo,9,60912,60912,100.0,0.02,0.5,-0.48,14.971
1,dpo-lora,9,63984,3072,4.8012,0.0,0.5,-0.5,19.71
2,sft,21,61488,61488,100.0,0.06,0.5,-0.44,14.731
2,dpo-sigmoid,21,61488,61488,100.0,0.06,0.5,-0.44,17.825
2,dpo-ipo,21,61488,61488,100.0,0.26,0.5,-0.24,14.458
2,dpo-lora,21,64560,3072,4.7584,0.34,0.5,-0.16,18.178
3,sft,69,63792,63792,100.0,0.28,0.5,-0.22,12.058
3,dpo-sigmoid,69,63792,63792,100.0,0.14,0.5,-0.36,14.572
3,dpo-ipo,69,63792,63792,100.0,0.06,0.5,-0.44,17.549
3,dpo-lora,69,66864,3072,4.5944,0.48,0.5,-0.02,14.069
4,sft,261,73008,73008,100.0,0.5,0.5,0.0,12.96
4,dpo-sigmoid,261,73008,73008,100.0,0.06,0.5,-0.44,18.955
4,dpo-ipo,261,73008,73008,100.0,0.0,0.5,-0.5,18.923
4,dpo-lora,261,76080,3072,4.0379,0.56,0.5,0.06,14.706
5,sft,1029,109872,109872,100.0,0.48,0.5,-0.02,11.296
5,dpo-sigmoid,1029,109872,109872,100.0,1.0,0.5,0.5,18.518
5,dpo-ipo,1029,109872,109872,100.0,0.96,0.5,0.46,21.42
5,dpo-lora,1029,112944,3072,2.7199,0.44,0.5,-0.06,14.123
6,sft,4101,257328,257328,100.0,0.78,0.5,0.28,13.412
6,dpo-sigmoid,4101,257328,257328,100.0,1.0,0.5,0.5,15.952
6,dpo-ipo,4101,257328,257328,100.0,1.0,0.5,0.5,18.107
6,dpo-lora,4101,260400,3072,1.1797,0.6,0.5,0.1,16.768
